6366
20150209130942,10.0.0.4,38383,10.0.0.5,5001,3,0.0-1.0,393216,3145728
20150209130943,10.0.0.4,38383,10.0.0.5,5001,3,1.0-2.0,262144,2097152
20150209130943,10.0.0.4,38383,10.0.0.5,5001,3,2.0-3.0,262144,2097152
20150209130944,10.0.0.4,38383,10.0.0.5,5001,3,3.0-4.0,262144,2097152
20150209130945,10.0.0.4,38383,10.0.0.5,5001,3,4.0-5.0,262144,2097152
20150209130947,10.0.0.4,38383,10.0.0.5,5001,3,5.0-6.0,393216,3145728
20150209130948,10.0.0.4,38383,10.0.0.5,5001,3,6.0-7.0,262144,2097152
20150209130948,10.0.0.4,38383,10.0.0.5,5001,3,7.0-8.0,262144,2097152
20150209130949,10.0.0.4,38383,10.0.0.5,5001,3,8.0-9.0,262144,2097152
20150209130951,10.0.0.4,38383,10.0.0.5,5001,3,9.0-10.0,393216,3145728
20150209130951,10.0.0.4,38383,10.0.0.5,5001,3,10.0-11.0,262144,2097152
20150209130952,10.0.0.4,38383,10.0.0.5,5001,3,11.0-12.0,262144,2097152
20150209130953,10.0.0.4,38383,10.0.0.5,5001,3,12.0-13.0,262144,2097152
20150209130954,10.0.0.4,38383,10.0.0.5,5001,3,13.0-14.0,393216,3145728
20150209130955,10.0.0.4,38383,10.0.0.5,5001,3,14.0-15.0,393216,3145728
20150209130956,10.0.0.4,38383,10.0.0.5,5001,3,15.0-16.0,262144,2097152
20150209130957,10.0.0.4,38383,10.0.0.5,5001,3,16.0-17.0,393216,3145728
20150209130958,10.0.0.4,38383,10.0.0.5,5001,3,17.0-18.0,393216,3145728
20150209130959,10.0.0.4,38383,10.0.0.5,5001,3,18.0-19.0,262144,2097152
20150209131000,10.0.0.4,38383,10.0.0.5,5001,3,19.0-20.0,393216,3145728
20150209131001,10.0.0.4,38383,10.0.0.5,5001,3,20.0-21.0,393216,3145728
20150209131002,10.0.0.4,38383,10.0.0.5,5001,3,21.0-22.0,393216,3145728
20150209131003,10.0.0.4,38383,10.0.0.5,5001,3,22.0-23.0,262144,2097152
20150209131004,10.0.0.4,38383,10.0.0.5,5001,3,23.0-24.0,393216,3145728
20150209131005,10.0.0.4,38383,10.0.0.5,5001,3,24.0-25.0,393216,3145728
20150209131006,10.0.0.4,38383,10.0.0.5,5001,3,25.0-26.0,262144,2097152
20150209131007,10.0.0.4,38383,10.0.0.5,5001,3,26.0-27.0,393216,3145728
20150209131009,10.0.0.4,38383,10.0.0.5,5001,3,27.0-28.0,524288,4194304
20150209131009,10.0.0.4,38383,10.0.0.5,5001,3,28.0-29.0,262144,2097152
20150209131010,10.0.0.4,38383,10.0.0.5,5001,3,29.0-30.0,524288,4194304
20150209131010,10.0.0.4,38383,10.0.0.5,5001,3,0.0-30.6,10223616,2669657
